Processo;Cidade;Estado;Tipo;Metragem;Endereço;Avaliação;% Leilão;Data Início;Data Fim;Arremate;ITBI (3%);Cartório (5%);Leiloeiro (5%);Honorários (5%);Custos;Lucro;ROI;Score;Status
0000999-75.2020.5.09.0001;Curitiba;PR;Casa;242,79 m²;Rua Jaime Balão, 976, Casa 12, Hugo Lange, Curitiba/PR;R$ 2.000.000,00;50%;16/06/2026;25/06/2026;R$ 1.000.000,00;R$ 30.000,00;R$ 50.000,00;R$ 50.000,00;R$ 50.000,00;R$ 1.180.000,00;82000000,00%;15;VERMELHO;
0000999-75.2020.5.09.0001;Curitiba;PR;Casa em Condomínio;242,79 m²;Rua Jaime Balão, 976, Casa 12, Hugo Lange, Curitiba/PR;R$ 2.000.000,00;50%;16/06/2026;25/06/2026;R$ 1.000.000,00;R$ 30.000,00;R$ 50.000,00;R$ 50.000,00;R$ 50.000,00;R$ 1.180.000,00;82000000,00%;20;VERMELHO;
0000999-75.2020.5.09.0001;Curitiba;PR;Casa;242,79 m²;Rua Jaime Balão, 976, Casa 12, Hugo Lange, Curitiba/PR;R$ 2.000.000,00;50%;16/06/2026;23/07/2026;R$ 1.000.000,00;R$ 30.000,00;R$ 50.000,00;R$ 50.000,00;R$ 50.000,00;R$ 1.180.000,00;82000000,00%;20;VERMELHO;
0000999-75.2020.5.09.0001;Curitiba;PR;Casa;242,79 m²;Rua Jaime Balão, 976, Casa 12, Hugo Lange, Curitiba/PR;R$ 2.000.000,00;50%;16/06/2026;25/06/2026;R$ 1.000.000,00;R$ 30.000,00;R$ 50.000,00;R$ 50.000,00;R$ 50.000,00;R$ 1.180.000,00;82000000,00%;5;VERMELHO;
0000999-75.2020.5.09.0001;Curitiba;PR;Casa;249,66 m²;Rua Jaime Balão, 976, Casa 12, Hugo Lange, Curitiba/PR;R$ 2.000.000,00;50%;16/06/2026;23/07/2026;R$ 1.000.000,00;R$ 30.000,00;R$ 50.000,00;R$ 50.000,00;R$ 50.000,00;R$ 1.180.000,00;82000000,00%;20;VERMELHO;
0000999-75.2020.5.09.0001;Curitiba;PR;Casa;242,79 m²;Rua Jaime Balão, 976, Casa 12, Hugo Lange, Curitiba/PR;R$ 2.000.000,00;50%;16/06/2026;25/06/2026;R$ 1.000.000,00;R$ 30.000,00;R$ 50.000,00;R$ 50.000,00;R$ 50.000,00;R$ 1.180.000,00;82000000,00%;50;VERMELHO;
0000999-75.2020.5.09.0001;Curitiba;PR;Casa em Condomínio;242,79 m²;Rua Jaime Balão, 976, Casa 12, Hugo Lange, Curitiba/PR;R$ 2.000.000,00;50%;16/06/2026;25/06/2026;R$ 1.000.000,00;R$ 30.000,00;R$ 50.000,00;R$ 50.000,00;R$ 50.000,00;R$ 1.180.000,00;82000000,00%;25;VERMELHO;
0012175-92.2016.5.15.0108;São Roque;SP;Terreno;1.550,00 m²;Rua São Judas Tadeu, Lote 4, Jardim Villaça, Quadra 42, SÃO ROQUE/SP, CEP: 18135-290;R$ 1.900.000,00;60%;28/04/2026;27/05/2026;R$ 1.140.000,00;R$ 34.200,00;R$ 57.000,00;R$ 57.000,00;R$ 57.000,00;R$ 1.345.200,00;55480000,00%;80;VERDE;
1000217-92.2021.5.02.0039;São Paulo;SP;Apartamento;130,21 m²;Avenida Rouxinol nº 614, apto 72, Bloco 1, Edifício Quéops, Indianópolis, São Paulo/SP (esquina com a Rua Canário nº 1.109);R$ 1.900.000,00;40%;16/07/2026;16/07/2026;R$ 760.000,00;R$ 22.800,00;R$ 38.000,00;R$ 38.000,00;R$ 38.000,00;R$ 896.800,00;100320000,00%;50;VERMELHO;
0146837-49.2011.8.13.0471;Pará de Minas;MG;Lote de terreno com casa e benfeitorias;548,00 m²;Rua Coronel Domingos, nº 431 - Bairro Nossa Senhora das Graças - Pará de Minas - MG;R$ 1.841.952,31;50%;28/04/2026;05/05/2026;R$ 920.976,16;R$ 27.629,28;R$ 46.048,81;R$ 46.048,81;R$ 46.048,81;R$ 1.086.751,86;75520044,71%;60;AMARELO;
0053196-55.2019.8.16.0014;Londrina;PR;Lote de terras;5.776,10 m²;LOTE DE TERRAS sendo área denominada Reserva com 5.776,10m2, subdivisão dos Lotes ns.115, 116 e 117-A, situada e com acessos pelas ruas Rainha do Rubi, continuidade das ruas Av Rainha do Céu e rua José Caetano de Oliveira e/ou ainda prolongamentos das ruas João Frisseli, rua Jose Gonçalves e rua Joaquim Gregório Marques, Jardim Jatobá;R$ 1.800.000,00;50%;01/05/2026;06/05/2026;R$ 900.000,00;R$ 27.000,00;R$ 45.000,00;R$ 45.000,00;R$ 45.000,00;R$ 1.062.000,00;73800000,00%;55;VERMELHO;
0002281-96.2015.5.02.0041;Indaiatuba;SP;Terreno;1.034,00 m²;Estrada Jose Costa de Mesquita, 1068 - Lote 05 - Quadra 05 - Chacaras Alvorada - Bairro Sapezal - Indaiatuba/SP;R$ 1.700.000,00;40%;16/07/2026;16/07/2026;R$ 680.000,00;R$ 20.400,00;R$ 34.000,00;R$ 34.000,00;R$ 34.000,00;R$ 802.400,00;89760000,00%;80;VERDE;
0100200-07.2021.5.01.0008;Rio de Janeiro;RJ;Casa;0,00 m²;Casa 02 do empreendimento Vivendas do Sol -San Francisco Town HouseXXXI, a ser construído sob o n°200 pela RUA RAPHAEL PAIXÃO, na FREGUESIA DE JACAREPAGUÁ;R$ 1.620.000,00;50%;05/05/2026;06/05/2026;R$ 810.000,00;R$ 24.300,00;R$ 40.500,00;R$ 40.500,00;R$ 40.500,00;R$ 955.800,00;66420000,00%;65;AMARELO;
